Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1wrnhZmN2HXPJ30QAzFLSZ,"7y97mc3bZRFXzT2szRM4L4,2omtDN111E4lwx3vz3xR4f,4jq1dmUHoQcDOE2eRyTEGS","Nocturne in E Flat Major, Op. 9 No. 2: II. Andante (E Flat major)","Classical Piano Best Of - 14 Most Famous Classical & Modern Piano Masterpieces","Frédéric Chopin,Omario Baggeman,Jean Baudin Clarke",2020-01-18,282354,50,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-04-03T21:19:14Z,"classical,early romantic era,polish classical",0.459,0.0829,10,-24.866,1,0.052,0.949,0.952,0.12,0.155,98.662,4
1LNqr2FALBNFX1smNJcKD2,"5BWwOqYJwIlEbS858Kmh2E","Moonlight Sonata (1st Movement)","Betoven - Best Piano Pieces","Betoven Collection",2020-03-06,314305,60,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-04-03T21:19:15Z,"",0.262,0.0167,1,-29.46,0,0.0533,0.994,0.908,0.143,0.114,79.842,3
0dQZmVKzYF3F9W64ESs8h4,"5BWwOqYJwIlEbS858Kmh2E","Für Elise","Betoven - Best Piano Pieces","Betoven Collection",2020-03-06,172979,57,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-04-03T21:19:17Z,"",0.263,0.127,9,-25.092,0,0.0423,0.98,0.849,0.109,0.0906,140.442,4
73FM6KfVTjgUUEyH6NqDBd,"7y97mc3bZRFXzT2szRM4L4,6iawb1h0XmXI9k5GNhkTvJ","Nocturne in C-sharp minor, B.49 : Lento con gran espressione","Moonlight Sonata","Frédéric Chopin,Maximilian Oberroither",2020-02-05,234547,42,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-04-03T21:19:18Z,"classical,early romantic era,polish classical",0.345,0.00721,6,-29.185,0,0.0493,0.988,0.951,0.109,0.174,129.047,4
6GXPVW6kZNqhgKmFv2HnuV,"1Uff91EOsvd99rtAupatMP,2omtDN111E4lwx3vz3xR4f,4jq1dmUHoQcDOE2eRyTEGS","Suite Bergamasque, L. 75: III. Clair de lune","Classical Piano Best Of - 14 Most Famous Classical & Modern Piano Masterpieces","Claude Debussy,Omario Baggeman,Jean Baudin Clarke",2020-01-18,299444,45,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-04-03T21:19:19Z,"classical,impressionism,post-romantic era",0.458,0.00626,1,-22.566,1,0.0524,0.992,0.934,0.0838,0.0659,69.053,3
69JxLSmBK4u134IDyO2zUJ,"7y97mc3bZRFXzT2szRM4L4,6iawb1h0XmXI9k5GNhkTvJ","Waltzes in C-sharp minor, Op.64: II. Tempo giusto","Moonlight Sonata","Frédéric Chopin,Maximilian Oberroither",2020-02-05,240681,40,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-04-03T21:19:23Z,"classical,early romantic era,polish classical",0.253,0.105,1,-23.526,0,0.0432,0.982,0.932,0.447,0.203,128.312,3
6t26lJyF9QkbHzUMI5k3Fd,"00sazWvoTLOqg5MFwC68Um,4jq1dmUHoQcDOE2eRyTEGS","Comptine d`un autre ete, l`apres-midi","Classical Piano Best Of - 14 Most Famous Classical & Modern Piano Masterpieces","Yann Tiersen,Jean Baudin Clarke",2020-01-18,134489,45,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-04-03T21:19:24Z,"bow pop,compositional ambient,french soundtrack",0.386,0.0455,4,-21.716,0,0.0474,0.978,0.925,0.0926,0.332,191.854,4
7wyOeWMb8aiR2qjdCEEYZJ,"5BWwOqYJwIlEbS858Kmh2E","Moonlight Sonata (3rd Movement)","Betoven - Best Piano Pieces","Betoven Collection",2020-03-06,427247,53,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-04-03T21:19:26Z,"",0.242,0.193,9,-23.566,1,0.037,0.968,0.862,0.105,0.113,155.866,4
6O4MAAXOQ7mmLFpHqi7kMU,"29i15whXYvAclIabh8MwFb","River Flows In You","Pop Piano Covers","Ryan Tenner",2020-01-25,180248,46,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-04-03T21:19:27Z,"piano cover",0.344,0.121,9,-23.438,1,0.0527,0.936,0.896,0.103,0.0923,139.318,4
0U8QSYMw4xJTNM8IaP6PnD,"62TD7509VQIxUe4WpwO0s3,2omtDN111E4lwx3vz3xR4f,4jq1dmUHoQcDOE2eRyTEGS","Canon and Gigue in D major, P.37: I. Canon","Classical Piano Best Of - 14 Most Famous Classical & Modern Piano Masterpieces","Johann Pachelbel,Omario Baggeman,Jean Baudin Clarke",2020-01-18,187245,45,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-04-03T21:19:28Z,"baroque,classical,german baroque",0.401,0.0455,2,-22.912,1,0.0538,0.987,0.94,0.0831,0.112,130.349,4
59d6uevB0QGLjUilTex8Qn,"6iawb1h0XmXI9k5GNhkTvJ","La Valse d'Amélie","Piano Soundtrack","Maximilian Oberroither",2020-02-14,150880,46,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-04-03T21:19:29Z,"",0.243,0.0848,0,-19.873,1,0.04,0.987,0.947,0.0692,0.0826,173.96,1
70xgYbOQxi9XRbf7c7LwIZ,"1385hLNbrnbCJGokfH2ac2,2omtDN111E4lwx3vz3xR4f,4jq1dmUHoQcDOE2eRyTEGS","Liebesträume, S.541 Liebestraum: III. Oh Lieb, so lang du lieben kannst","Classical Piano Best Of - 14 Most Famous Classical & Modern Piano Masterpieces","Franz Liszt,Omario Baggeman,Jean Baudin Clarke",2020-01-18,263035,43,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-04-03T21:19:30Z,"classical,late romantic era",0.268,0.039,8,-23.718,1,0.0541,0.98,0.911,0.101,0.0369,77.043,3
53gjVXIaYliSNUlvamzcPp,"2p0UyoPfYfI76PCStuXfOP,1385hLNbrnbCJGokfH2ac2,6iawb1h0XmXI9k5GNhkTvJ","Ständchen in D Minor, S. 560 (Trans. from Schwanengesang No. 4, D. 957)","Moonlight Sonata","Franz Schubert,Franz Liszt,Maximilian Oberroither",2020-02-05,225417,40,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-04-03T21:19:31Z,"classical,classical era,early romantic era,late romantic era",0.421,0.023,2,-27.725,1,0.0415,0.995,0.944,0.112,0.152,133.314,4
5iPeralcsBvYAVKvCWPEAt,"459INk8vcC0ebEef82WjIK,2omtDN111E4lwx3vz3xR4f,4jq1dmUHoQcDOE2eRyTEGS","3 Gymnopédies: Gymnopédie No.1","Classical Piano Best Of - 14 Most Famous Classical & Modern Piano Masterpieces","Erik Satie,Omario Baggeman,Jean Baudin Clarke",2020-01-18,192446,44,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-04-03T21:19:32Z,"classical,early avant garde,early modern classical,impressionism,post-romantic era",0.685,0.00832,7,-30.099,1,0.0693,0.992,0.956,0.103,0.351,72.993,3
3pA7cZpRMiPMwQIJUnWRrj,"17hR0sYHpx7VYTMRfFUOmY,6iawb1h0XmXI9k5GNhkTvJ","Pavane pour une infante défunte, M. 19","Moonlight Sonata","Maurice Ravel,Maximilian Oberroither",2020-02-05,354477,38,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-04-03T21:19:33Z,"classical,impressionism,neoclassicism,post-romantic era",0.502,0.0196,4,-26.013,0,0.065,0.993,0.936,0.0889,0.125,131.522,4
0BJpqDSyXSlIPFvwuOK3Wv,"2UqjDAXnDxejEyE0CzfUrZ,6iawb1h0XmXI9k5GNhkTvJ","Kinderszenen in F Major, Op.15: VII. Träumerei","Moonlight Sonata","Robert Schumann,Maximilian Oberroither",2020-02-05,168648,38,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-04-03T21:19:34Z,"classical,early romantic era,german romanticism",0.503,0.00375,5,-34.903,1,0.0721,0.995,0.962,0.0709,0.427,67.073,4
2St2m1RskZmhzWUCp4ucPw,"1385hLNbrnbCJGokfH2ac2,6iawb1h0XmXI9k5GNhkTvJ","Grandes études de Paganini Etude in G Sharp minor, S.141: III. La Campanella","Moonlight Sonata","Franz Liszt,Maximilian Oberroither",2020-02-05,286480,37,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-04-03T21:19:36Z,"classical,late romantic era",0.34,0.247,8,-23.743,0,0.0451,0.982,0.901,0.122,0.453,90.604,4
