Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4zN21mbAuaD0WqtmaTZZeP,"43BxCL6t4c73BQnIJtry5v,45ruzGUmIr8WLjLOPJ9mGU","Ferrari","Ferrari","James Hype,Miggy Dela Rosa",2022-04-01,186661,84,spotify:user:,2022-06-17T04:01:00Z,"dance pop,deep groove house,edm,house,pop dance,tropical house,uk dance",0.847,0.69,1,-7.877,0,0.0493,0.0127,0.00006,0.0526,0.692,125.004,4
3nEHrvNNtgLv9rneTAYVr4,"1h6Cn3P4NGzXbaXidqURXs,4RB2kk5dmocmMiHFBlmOEt","Heaven Takes You Home (feat. Connie Constance)","Paradise Again","Swedish House Mafia,Connie Constance",2022-04-15,214071,81,spotify:user:,2022-06-17T04:01:00Z,"edm,pop,pop dance,progressive electro house,uk contemporary r&b",0.665,0.738,0,-5.931,0,0.0379,0.0124,0.00598,0.0923,0.0389,125.037,4
1RF02Cf80mTaeNXG2P2boR,"2gduEC76ry33RVurAvT05p,7nDsS0l5ZAzMedVRKPP8F1","21 Reasons (feat. Ella Henderson)","21 Reasons (feat. Ella Henderson)","Nathan Dawe,Ella Henderson",2022-04-29,155253,81,spotify:user:,2022-06-17T04:01:00Z,"dance pop,house,pop dance,tropical house,uk dance,pop,talent show,uk pop",0.621,0.785,6,-4.499,1,0.11,0.0165,0.00000592,0.0512,0.779,123.96,4
15223sfwoQj4IAJL8GSnfO,"0j4dGWeyGGE4GvrAzdZIZ5","Ritmo","Ritmo","Raffa Fl",2021-08-13,183870,75,spotify:user:,2022-06-17T04:01:00Z,"italian tech house",0.484,0.858,0,-5.679,1,0.0917,0.00094,0.00216,0.372,0.604,115.684,4
10oKSzRcwbZsog2uq2gb4b,"2avRYQUWQpIkzJOEkf0MdY,2CIMQHirSU0MQqyYHq0eOx,6TQj5BFPooTa08A7pk8AQ1,4yX6mpMyBGf9UfvBB8JJrc","Escape (feat. Hayla)","Escape (feat. Hayla)","Kx5,deadmau5,Kaskade,Hayla",2022-03-11,240445,76,spotify:user:,2022-06-17T04:01:00Z,"edm,pop dance,canadian electronic,electro house,progressive house,house,tropical house,vocal house",0.66,0.799,9,-6.934,0,0.0719,0.179,0.000364,0.701,0.148,126.08,4
6fbNKnzlcQzbtryQYSxpMb,"4iBwchw0U0GZv5RfVYSMxN,0W8xe7IqAPlnBRMUpWOUuJ","Running (feat. Meg Myers) - Original Mix","Running","Anyma,Meg Myers",2021-12-08,385436,61,spotify:user:,2022-06-17T04:01:00Z,"dark pop,electropop,modern rock,shimmer pop",0.699,0.803,9,-7.437,0,0.0435,0.0349,0.696,0.115,0.029,124.978,4
6GomT970rCOkKAyyrwJeZi,"37czgDRfGMvgRiUKHvnnhj,0aOIluXr131XqrXFwFCFGT","Move Your Body","Move Your Body","Öwnboss,Sevek",2021-10-29,157444,84,spotify:user:,2022-06-17T04:01:00Z,"brazilian edm",0.848,0.821,2,-5.408,0,0.0527,0.0169,0.000403,0.0962,0.249,125.051,4
7fZBQnc0zXwVybgCIrQQil,"5rGrDvrLOV2VV8SCFVGWlj,0Upxnyh9nIUNSOmNE8WF4R","Belly Dancer","Belly Dancer","Imanbek,BYOR",2022-02-18,151475,86,spotify:user:,2022-06-17T04:01:00Z,"dance pop,edm,electro house,pop dance,slap house,tropical house,bass house,russian edm",0.845,0.797,1,-4.984,1,0.139,0.0582,0.00000557,0.167,0.422,121.985,4
1dt220OBbkTsYz1NLVKIaw,"5ENS85nZShljwNgg4wFD7D,6cEuCEZu7PAE9ZSzLLc2oQ,0CbeG1224FS58EUx4tPevZ","Call Me (with R3HAB & Timmy Trumpet)","Call Me (with R3HAB & Timmy Trumpet)","Gabry Ponte,R3HAB,Timmy Trumpet",2022-01-14,178309,72,spotify:user:,2022-06-17T04:01:00Z,"edm,eurodance,italo dance,pop dance,slap house,dance pop,dutch house,electro house,pop,progressive electro house,tropical house,australian dance,big room,melbourne bounce,melbourne bounce international",0.398,0.956,2,-4.429,1,0.329,0.00935,0.0038,0.142,0.269,106.581,4
2FEUloDXMvRnyfLcsrCfkw,"7kNqXtgeIwFtelmRjWv205","La Danza","La Danza","John Summit",2022-03-11,157619,69,spotify:user:,2022-06-17T04:01:00Z,"edm,electro house,house,pop dance",0.797,0.88,6,-5.722,0,0.0442,0.00298,0.574,0.183,0.357,125.996,4
7y3c1oJMY1CwwtOZ84Qovu,"4ofCBoyEiGSePFAG500xev,5vBSrE1xujD2FXYRarbAXc","Hallucination","Hallucination","Regard,Years & Years",2022-02-18,174794,75,spotify:user:,2022-06-17T04:01:00Z,"dance pop,edm,electro house,pop,pop dance,pop edm,slap house,tropical house,gauze pop",0.687,0.788,6,-5.142,0,0.0352,0.0121,0,0.358,0.669,123.02,4
