Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4q7JdJK6NXC7c4eORk8EUt,"7xGEs9CkxkOE8hX07ciCAy,6Ztv937rk7iQxBObBW9ye0","Rave","Rave","Felckin,Vortek's",2018-06-15,251245,25,spotify:user:215sa627dshkuziaio2vx325i,2018-12-11T17:37:20Z,"acidcore,tekno",0.597,0.947,1,-7.68,1,0.0408,0.036,0.826,0.0921,0.33,150.034,4
4qxqLnWYd1zOoD3bG7qaSQ,"2Zvo5BEkHyaHD1zk180kMz","Voyager","Voyager","Dimatik",2018-09-15,236571,32,spotify:user:215sa627dshkuziaio2vx325i,2018-12-12T15:56:10Z,"classic hardstyle,melbourne bounce international",0.616,0.901,11,-4.125,0,0.081,0.0119,0.577,0.133,0.248,140.026,4
4JbmcPawCB84GH4DTrjqSK,"0SfsnGyD8FpIN4U4WCkBZ5","Blah Blah Blah","Blah Blah Blah","Armin van Buuren",2018-05-18,183518,45,spotify:user:215sa627dshkuziaio2vx325i,2019-01-04T12:30:21Z,"dutch trance,edm,pop dance,progressive house,trance",0.612,0.963,5,-3.912,0,0.0531,0.00897,0.00378,0.294,0.179,138.009,4
2wsXmtsA08Pe3xZlGNkLgd,"6S3KljEiIOWoLMUyZrkQUc,5uJw4WCX5nYj4FHky9r1Ug","Gam Gam","Gam Gam","Marnik,SMACK",2018-10-26,213985,44,spotify:user:215sa627dshkuziaio2vx325i,2019-01-06T16:50:47Z,"electro house,lithuanian edm",0.475,0.914,0,-4.255,0,0.0555,0.034,0.000202,0.277,0.156,138.007,4
2lBhQDBX4kbNrWQOS5HCk0,"7seaqlSfH73mAG2lRibVcp","Avada Kadabra","Best of Belik","Belik Boom",2016-07-28,402306,0,spotify:user:215sa627dshkuziaio2vx325i,2019-01-06T16:54:03Z,"progressive psytrance",0.475,0.756,10,-6.916,0,0.0681,0.0285,0.786,0.137,0.0382,138.99,4
6fs4FmJFPisknFKnmSwTrn,"29zsVzEH33dD5QqxeL8dvy","The Tribe","Future Classics","Vini Vici",2015-04-13,475652,0,spotify:user:215sa627dshkuziaio2vx325i,2019-04-03T13:21:33Z,"progressive uplifting trance",0.604,0.956,6,-6.513,0,0.12,0.00728,0.49,0.919,0.181,138.029,4
0G6rdIsquisxkZZSUzLGxq,"0Ldjd0Z66CJ0rChWXx0jzB,4x4bLKxRPzmsR2HKMfo54b","Irish Legend","Irish Legend","Billx,Black Muffin",2019-01-28,342348,48,spotify:user:215sa627dshkuziaio2vx325i,2019-07-06T21:41:32Z,"frenchcore,raggatek,tekk,tekno",0.377,0.976,9,-2.445,1,0.142,0.0462,0.781,0.0874,0.225,143.02,4
1Ic75bJnvNE3zpE7qZg7aA,"62RdOEwjfXjFOQpKdufMR7,29zsVzEH33dD5QqxeL8dvy","Free Tibet - Vini Vici Remix","Free Tibet (Vini Vici Remix)","Hilight Tribe,Vini Vici",2016-02-01,474782,0,spotify:user:215sa627dshkuziaio2vx325i,2019-10-09T07:43:24Z,"didgeridoo,psychedelic trance,progressive uplifting trance",0.383,0.947,1,-5.93,1,0.0654,0.0131,0.697,0.143,0.0741,103.512,3
5gXKDmafOQ8i4lYr62wxTk,"3dUltShd2gJQc98Kc7Syit","Deep Jungle Walk","He.art","Astrix",2016-02-29,555704,57,spotify:user:215sa627dshkuziaio2vx325i,2019-10-09T07:43:25Z,"full on,nitzhonot,psychedelic trance",0.618,0.885,6,-8.347,0,0.0454,0.000658,0.502,0.37,0.105,138.029,4
5loB0lp0m3OSiv8ebZTJHm,"0Ldjd0Z66CJ0rChWXx0jzB","Tree of Life - Psy to Hard","Tree of Life","Billx",2018-08-27,313224,0,spotify:user:215sa627dshkuziaio2vx325i,2019-10-15T21:21:23Z,"frenchcore,raggatek,tekk,tekno",0.484,0.992,11,-1.642,1,0.209,0.0156,0.00485,0.229,0.055,160.108,4
