Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7kUBocchlTtTZVNplR9ZJI,"4f0OXMMSxr0r8Ztx6CdpAl","Trip To Mars (Astronauts)","Trip To Mars (Astronauts)","Sub Zero Project",2021-11-04,182168,62,spotify:user:11124443444,2022-06-10T00:41:23Z,"euphoric hardstyle,rawstyle",0.418,0.865,2,-6.068,1,0.148,0.000647,0.000125,0.441,0.253,150.027,4
4qfD7xjF4ZhteeAc6B7TjA,"5PbgCU02dfdBCAzpOaNmYW","GO STUPID","GO STUPID","Sickmode",2022-04-07,217500,62,spotify:user:11124443444,2022-06-10T00:41:23Z,"",0.557,0.864,11,-4.574,0,0.0702,0.0151,0.0084,0.878,0.464,160.04,4
1f1oSxTFtI9WN7X6GvzMtF,"6UOk7DmvqlzWmo6gjhZvn6,76TM3QXivQvlLmZxdYxMZr","Supa Dupa Fly","Supa Dupa Fly","Da Tweekaz,666",2022-04-14,191413,58,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,euphoric hardstyle,rawstyle,bubble trance,bubblegum dance,eurodance,europop,german techno,hip house",0.584,0.991,8,-5.074,0,0.105,0.149,0.000263,0.398,0.753,154.992,4
5nXwto7SKQ5cp4XhLv5aNB,"7E6DrjKJieOdJKO8mbwCMO","Wanna Stay","Wanna Stay","D-Sturb",2021-10-15,193548,56,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,frenchcore,rawstyle,xtra raw",0.406,0.985,8,-1.539,0,0.175,0.00282,0.0456,0.147,0.235,154.993,4
4ZTlYecOR3S5CYneO8L99s,"7momuad2Twkv5O7MY3dODa,4NgLhqI1DnFwrvxaujQv1g","Incredible (feat. Insali)","Incredible (feat. Insali)","Frontliner,Insali",2021-10-29,195135,50,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,euphoric hardstyle,rawstyle",0.464,0.941,11,-3.001,0,0.386,0.0224,0.0229,0.389,0.266,149.977,4
7dRuNBMc0ha8KjCsYuSEUC,"2DYDFBqoaBP2i9XrTGpOgF,2eOPTQxZPGde8cZPJv80SX","Neo Tokyo","Neo Tokyo","Naeleck,Kan Takahiko",2021-01-08,224000,58,spotify:user:11124443444,2022-06-10T00:41:23Z,"electro",0.484,0.955,6,-2.939,0,0.0452,0.00513,0.884,0.091,0.261,149.991,4
0eSpHVgZCpDYlhKVv9aWB4,"1wuQQfTDZhgNb4GJyhThUs","In The Dark","In The Dark","Warface",2021-10-29,246000,49,spotify:user:11124443444,2022-06-10T00:41:23Z,"rawstyle,xtra raw",0.583,0.963,2,-3.507,1,0.0723,0.00982,0.000679,0.101,0.222,160.016,4
1AL97In5wDss9kvY8wRHH4,"6J6UF3GqOLdt6f4gfazSzf,6L7a6wPGpvLtTwOsMLnF1z","Primal Energy (Haunted Grounds)","Primal Energy (Haunted Grounds)","Ghost Stories,D-Block & S-te-Fan",2022-06-03,350077,57,spotify:user:11124443444,2022-06-10T00:41:23Z,"euphoric hardstyle,classic hardstyle,rawstyle",0.348,0.934,10,-4.278,0,0.238,0.0103,0.0000744,0.0691,0.252,150.185,4
5VCUf3CJuflyaCHf7Fa4mS,"7IeovKzVkfcG9mIJGNzTcT,7E6DrjKJieOdJKO8mbwCMO,3vH8Rv37KXuUZzSHICjTnm","Dance With The Devil","Dance With The Devil","Ran-D,D-Sturb,XCEPTION",2021-02-19,252236,58,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,rawstyle,tekk,frenchcore,xtra raw",0.487,0.939,8,-3.182,0,0.268,0.0261,0,0.0699,0.156,155.06,4
0wM5xMaTddQjAXkNcFBcrR,"6UOk7DmvqlzWmo6gjhZvn6,1rpLzYzfrueWdkpcIunZQl,1Wt63OMKtv6v2ivHuQLm2C","Out Of The Shadows","Legends Of The Elite","Da Tweekaz,Hard Driver,Coone",2022-03-25,222033,51,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,euphoric hardstyle,rawstyle,belgian edm,jumpstyle",0.561,0.946,9,-5.55,1,0.131,0.047,0,0.226,0.181,150.034,4
7vlnsFTtXPgvScUtyAC2gX,"7E6DrjKJieOdJKO8mbwCMO,07E7avQ9K8W8Gr6BCx8aU9,2CREMC4YATn7Bx9ZQku6IH","Party At My Place - Vertile remix","Party At My Place (Vertile remix)","D-Sturb,Alee,Vertile",2021-12-17,189166,49,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,frenchcore,rawstyle,xtra raw,hardstyle",0.515,0.998,8,0.432,0,0.342,0.128,0.00000387,0.946,0.172,155.03,4
5T4IZNtPoKCCwbv7la17dR,"5eHs2hHfUzGizdnrLjc3CW,5NkT0VLTEXldi82KVVnG1b","Gangster For Life - Cryex Remix","Gangster For Life (Cryex Remix)","Act of Rage,Cryex",2021-12-10,213689,50,spotify:user:11124443444,2022-06-10T00:41:23Z,"rawstyle,hardstyle",0.591,0.971,9,-1.609,1,0.188,0.0353,0.000106,0.422,0.38,155.004,4
07B46HFSAMauWkHwp5n50P,"6UOk7DmvqlzWmo6gjhZvn6,1rpLzYzfrueWdkpcIunZQl,1Wt63OMKtv6v2ivHuQLm2C","By The Sword","By The Sword","Da Tweekaz,Hard Driver,Coone",2022-03-03,216376,61,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,euphoric hardstyle,rawstyle,belgian edm,jumpstyle",0.499,0.761,10,-6.397,0,0.034,0.209,0.0000272,0.0998,0.168,149.968,4
0vBOyqICis94fkSwJbfUeF,"5PbgCU02dfdBCAzpOaNmYW,2lpFs8QJyIeVDb2Sq4vZYi","TOO COLD","TOO COLD","Sickmode,Rooler",2021-10-28,186410,61,spotify:user:11124443444,2022-06-10T00:41:23Z,"frenchcore,rawstyle,xtra raw",0.631,0.858,2,-4.895,1,0.178,0.00793,0.000988,0.501,0.337,160.046,4
3xeaR6dAHQHU6rtUPRK9tX,"4f0OXMMSxr0r8Ztx6CdpAl","Rave Culture 2022","Rave Culture 2022","Sub Zero Project",2021-12-10,184000,61,spotify:user:11124443444,2022-06-10T00:41:23Z,"euphoric hardstyle,rawstyle",0.292,0.947,1,-4.449,1,0.0906,0.00171,0.593,0.191,0.0859,150.101,4
3LMyXZVHozagfHXCM7wS4s,"3Ij56hbjOTHq8RgutQwfxC","Brutal 9.0","Brutal 9.0","Radical Redemption",2021-07-30,263642,50,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,rawstyle",0.349,0.956,11,-1.855,0,0.561,0.0594,0,0.111,0.0566,154.884,4
01xdiGuSuIf5qZulm1uqkY,"6L7a6wPGpvLtTwOsMLnF1z,7E6DrjKJieOdJKO8mbwCMO","Feel It!","Feel It!","D-Block & S-te-Fan,D-Sturb",2020-01-21,236903,64,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,euphoric hardstyle,rawstyle,frenchcore,xtra raw",0.459,0.941,9,-2.053,0,0.0777,0.0191,0,0.371,0.399,155.023,4
5z7eJwNSulodOuFB0faCnp,"6J6UF3GqOLdt6f4gfazSzf,6L7a6wPGpvLtTwOsMLnF1z","Inside My Head","Inside My Head","Ghost Stories,D-Block & S-te-Fan",2021-02-23,217600,51,spotify:user:11124443444,2022-06-10T00:41:23Z,"euphoric hardstyle,classic hardstyle,rawstyle",0.39,0.965,9,-2.617,0,0.131,0.00713,0.000345,0.111,0.121,149.916,4
7xmvyYQEVNhY21cWYdj3Yo,"1CqOLQmjzVWXQTiIN5Wucs,37jL2LnGjAkadOCszr8v7C,3Ij56hbjOTHq8RgutQwfxC","Countdown - Radical Redemption Remix","Countdown (Radical Redemption Remix)","TNT,Technoboy,Radical Redemption",2021-11-19,201000,47,spotify:user:11124443444,2022-06-10T00:41:23Z,"euphoric hardstyle,classic hardstyle,rawstyle",0.248,0.942,10,-3.616,0,0.303,0.0762,0.0407,0.0932,0.0394,155.098,4
6AQpd05OyowTvtO7I3BdBU,"3gk0OYeLFWYupGFRHqLSR7,37jL2LnGjAkadOCszr8v7C,3mZnhzeAyjpFhO3cIepzBr","Mellow","Mellow","Showtek,Technoboy,Tuneboy",2016-08-12,169839,56,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,edm,electro house,euphoric hardstyle,pop dance,progressive electro house,rawstyle",0.563,0.873,11,-2.973,0,0.0413,0.0449,0.0852,0.0898,0.403,149.975,4
4bidbyOK1pdyHM3Hu0cvKO,"1Wt63OMKtv6v2ivHuQLm2C,6UOk7DmvqlzWmo6gjhZvn6,1rpLzYzfrueWdkpcIunZQl","Here To Stay","Here To Stay","Coone,Da Tweekaz,Hard Driver",2021-12-16,262587,50,spotify:user:11124443444,2022-06-10T00:41:23Z,"belgian edm,classic hardstyle,euphoric hardstyle,jumpstyle,rawstyle",0.482,0.935,8,-5.081,0,0.108,0.0113,0.00065,0.118,0.331,150.036,4
1a3M9MU7mmhQerLzHSGD3w,"7AGSJihqYPhYy5QzMcwcQT,6Xhhpra0X0hpvC3yZaQ0Du","My Beautiful Fantasy","My Beautiful Fantasy","Phuture Noize,B-Front",2020-01-10,192014,7,spotify:user:11124443444,2022-06-10T00:41:23Z,"australian dance,classic hardstyle,euphoric hardstyle,rawstyle,hardstyle",0.319,0.865,2,-2.528,0,0.0415,0.132,0,0.152,0.0845,155.174,4
5ooJpstPzU3mYDS3PVstCR,"1Wt63OMKtv6v2ivHuQLm2C,6UOk7DmvqlzWmo6gjhZvn6,1rpLzYzfrueWdkpcIunZQl","Falling Angels","Falling Angels","Coone,Da Tweekaz,Hard Driver",2022-01-27,201985,49,spotify:user:11124443444,2022-06-10T00:41:23Z,"belgian edm,classic hardstyle,euphoric hardstyle,jumpstyle,rawstyle",0.464,0.802,5,-5.507,0,0.0561,0.00929,0.0000113,0.126,0.382,75.058,4
5BeV0OiC4VQ3TG7ZlNHHsz,"5nd7jnne7zbsV2J5jBKNOY,2DYDFBqoaBP2i9XrTGpOgF,2OxrEwDhVZodk9XEVBkA6E","Virtual Gaming - Gammer Remix","Virtual Gaming (Gammer Remix)","Gammer,Naeleck,Hige Driver",2021-03-26,158158,54,spotify:user:11124443444,2022-06-10T00:41:23Z,"electro house,happy hardcore,hardcore techno,electro",0.496,0.98,11,-3.434,0,0.0474,0.000291,0.318,0.353,0.391,150.008,4
7CwUoENzTnkHzFlmFfFby4,"4LBa6kTLaQHiONCfTfTaXV,7FTQICqfx93tZdwZJb3wt2","Paradise","Paradise","Toneshifterz,Firelite",2021-06-10,194921,47,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,euphoric hardstyle,hardstyle,rawstyle",0.319,0.861,5,-4.11,1,0.0544,0.0368,0.0000748,0.252,0.202,149.652,4
5rlO2Wr2jifgjiBbPy25Su,"0WbAxASsYdodSlqwserDAW,0l6LU5NRvLTVeRDJZznwLX","Firestone","Firestone","Gunz For Hire,Ava Silver",2022-03-31,241500,52,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,rawstyle",0.2,0.961,5,-2.044,0,0.288,0.0295,0,0.44,0.0397,159.853,4
