Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1xQ6trAsedVPCdbtDAmk0c,"56mfhUDKa1vec6rSLZV5Eg,07YZf4WDAMNwqr4jfgOZ8y","Savage Love (Laxed - Siren Beat)","Savage Love (Laxed - Siren Beat)","Jawsh 685,Jason Derulo",2020-06-11,171374,78,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-06-17T14:57:18Z,"nz pop,dance pop,pop,pop rap,post-teen pop",0.767,0.481,0,-8.52,0,0.0803,0.234,0,0.269,0.761,150.076,4
6kex4EBAj0WHXDKZMEJaaF,"07YZf4WDAMNwqr4jfgOZ8y,0hCNtLu0JehylgoiP8L4Gh,7c0XG5cIJTrrAgEC3ULPiq","Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo,Nicki Minaj,Ty Dolla $ign",2017-02-23,216408,76,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-06-17T14:57:18Z,"dance pop,pop,pop rap,post-teen pop,hip pop,queens hip hop,hip hop,r&b,southern hip hop,trap,trap soul",0.696,0.817,1,-3.862,1,0.109,0.075,0,0.187,0.782,98.064,4
7795WJLVKJoAyVoOtCWqXN,"2wY79sveU1sp5g7SokKOiI","I'm Not The Only One","In The Lonely Hour","Sam Smith",2014-05-26,239316,82,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-06-17T14:57:18Z,"dance pop,pop,uk pop",0.677,0.485,5,-5.795,1,0.0361,0.529,0.0000204,0.0766,0.493,82.001,4
5Nm9ERjJZ5oyfXZTECKmRt,"2wY79sveU1sp5g7SokKOiI","Stay With Me","In The Lonely Hour","Sam Smith",2014-05-26,172723,81,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-06-17T14:57:18Z,"dance pop,pop,uk pop",0.418,0.42,0,-6.444,1,0.0414,0.588,0.0000639,0.11,0.184,84.094,4
10xV5l9nhLvFpR8mqzs0bL,"64KEffDW9EtZ1y2vBYgq8T,6LuN9FCkKOj5PcnpouEgny","Numb","Numb","Marshmello,Khalid",2022-06-10,155588,78,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-06-17T14:57:18Z,"brostep,dance pop,edm,pop,pop dance,progressive electro house,pop r&b",0.912,0.774,0,-4.673,0,0.0455,0.121,0.0127,0.101,0.632,119.966,4
5rGWjWX6ZCbFbhg18ZrwMm,"3S81oM6w9tzFUxEzvdql6I","Suicide","Suicide","Midnight To Monaco",2015-08-06,202125,29,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-06-17T14:57:18Z,"",0.366,0.718,7,-4.496,1,0.0746,0.124,0,0.163,0.57,200.117,4
7xHfguzndSR2jOpMxzqh3r,"76YIoWHp3Ri3q1ocOPtFzp","Glad You Came","Glad You Came","AREA21",2017-12-01,152583,50,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-06-17T14:57:18Z,"edm,pop dance",0.655,0.804,8,-5.288,1,0.0798,0.0605,0.000535,0.381,0.399,104.95,4
39cmB3ZoTOLwOTq7tMNqKa,"0NGAZxHanS9e0iNHpR8f2W,7qPLO2XOUaRrRxkvLZ3AEK,5veVxxPm1vzgi6pO2iVA8L","Hear Me Now (feat. Zeeba)","Hear Me Now (feat. Zeeba)","Alok,Zeeba,Bruno Martini",2016-10-21,194840,74,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-06-17T14:57:18Z,"electro house,pop nacional,slap house,brazilian edm,nova mpb,edm",0.778,0.463,11,-7.603,1,0.0389,0.546,0.00289,0.0731,0.496,121.999,4
6iW38RGqdDGOofmz2HeXLW,"0xRXCcSX89eobfrshSVdyu,0NGAZxHanS9e0iNHpR8f2W,2nm38smINjms1LtczR0Cei","Piece Of Your Heart - Alok Remix","Piece Of Your Heart (Alok Remix)","MEDUZA,Alok,Goodboys",2019-06-07,166451,74,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-06-17T14:57:18Z,"edm,pop,pop dance,pop house,tropical house,electro house,pop nacional,slap house,uk dance",0.797,0.86,10,-4.38,0,0.0413,0.0312,0.0137,0.334,0.192,124.033,4
69Z9CGFvblV0qTb6wMoCpP,"3fwPbUnAOAhzd60TyDfE8t","Song for Denise","Best of Collector: Piano Fantasia (Le meilleur des années 80)","Piano Fantasia",2012-03-19,192468,54,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-06-17T14:57:18Z,"",0.797,0.65,0,-6.983,0,0.0345,0.00369,0.892,0.2,0.954,102.414,4
4YprqLB3jEAlHNOMXEcZtm,"24Sxfn1uAoJmuR9N72drt9","Vibe","Vibe","Mike Candys",2021-06-18,141001,63,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-06-17T14:57:18Z,"edm,pop dance,pop house",0.937,0.823,11,-2.867,1,0.0956,0.013,0.397,0.121,0.616,126.063,4
29p6UW08MXzwj9thWBW3uF,"4D75GcNG95ebPtNvoNVXhz,1Cs0zKBU1kc0i8ypK3B9ai","Hero","Hero","Afrojack,David Guetta",2021-04-30,171840,67,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-06-17T14:57:18Z,"big room,dance pop,dutch house,edm,electro house,pop dance,pop rap,progressive house,tropical house,pop",0.713,0.772,2,-5.032,1,0.0313,0.157,0,0.153,0.523,125.001,4
2yYb6Ru1cwcDUBS4txRYQL,"0SfsnGyD8FpIN4U4WCkBZ5,13wroZC00C9ix8fUR0JvaY","No Fun","No Fun","Armin van Buuren,The Stickmen Project",2021-11-19,130412,48,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-06-17T14:57:18Z,"dutch trance,edm,pop dance,progressive house,trance",0.731,0.904,10,-4.774,0,0.0349,0.00861,0.000164,0.0916,0.328,121.03,4
1RF02Cf80mTaeNXG2P2boR,"2gduEC76ry33RVurAvT05p,7nDsS0l5ZAzMedVRKPP8F1","21 Reasons (feat. Ella Henderson)","21 Reasons (feat. Ella Henderson)","Nathan Dawe,Ella Henderson",2022-04-29,155253,82,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-06-17T14:57:18Z,"dance pop,house,pop dance,tropical house,uk dance,pop,talent show,uk pop",0.621,0.785,6,-4.499,1,0.11,0.0165,0.00000592,0.0512,0.779,123.96,4
5xKJI9aPQhuTdTq8BrJ8fL,"43BxCL6t4c73BQnIJtry5v,45ruzGUmIr8WLjLOPJ9mGU","Ferrari","Ferrari","James Hype,Miggy Dela Rosa",2022-03-15,185661,54,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-06-17T14:57:18Z,"dance pop,deep groove house,edm,house,pop dance,tropical house,uk dance",0.844,0.688,1,-7.879,0,0.049,0.0129,0.0000539,0.0492,0.695,124.992,4
76hfruVvmfQbw0eYn1nmeC,"6T5tfhQCknKG4UnH90qGnz","Cake By The Ocean","DNCE","DNCE",2016-11-18,219146,81,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-06-17T14:57:18Z,"dance pop,pop,post-teen pop",0.774,0.753,4,-5.446,0,0.0517,0.152,0,0.0371,0.896,119.002,4
1yX6sh2TkrT5hsXodo7aS6,"1uU7g3DNSbsu0QjSEqZtEd,0NGAZxHanS9e0iNHpR8f2W","Astronaut In The Ocean - Alok Remix","Astronaut In The Ocean (Alok Remix)","Masked Wolf,Alok",2021-04-30,128371,71,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-06-17T14:57:18Z,"australian hip hop,electro house,pop nacional,slap house",0.53,0.82,4,-4.936,0,0.0438,0.154,0.00000271,0.14,0.355,171.933,4
6E90gq0KO6FYZVOXx8kCcC,"1uU7g3DNSbsu0QjSEqZtEd","Astronaut In The Ocean","Astronomical","Masked Wolf",2021-09-10,132780,72,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-06-17T14:57:18Z,"australian hip hop",0.778,0.695,4,-6.865,0,0.0913,0.175,0,0.15,0.472,149.996,4
