Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6Dy1jexKYriXAVG6evyUTJ,"6DgP9otnZw5z6daOntINxp,4Q6nIcaBED8qUel8bBx6Cr,25uiPmTg16RbhZWAqwLBy5,6cK3NBO6uP7hh0oyuVELFl","OUT OUT (feat. Charli XCX & Saweetie)","OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry,Jax Jones,Charli XCX,Saweetie",2021-08-13,162603,83,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-05-16T20:18:32Z,"dance pop,edm,pop,pop dance,tropical house,uk dance,electro house,house,pop rap,art pop,candy pop,electropop,metropopolis,uk pop,cali rap,r&b,trap queen",0.787,0.833,8,-4.403,1,0.0478,0.018,0.00747,0.0374,0.796,123.97,4
4ASOMWcJUrwEpjJy4GEijz,"7tm9Tuc70geXOOyKhtZHIj,0XFmkmsCbCoR7wlqaZdt64","California Dreamin' (feat. High Jinx)","California Dreamin' (feat. High Jinx)","Chris Lorenzo,High Jinx",2021-10-08,196899,75,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-05-16T22:17:49Z,"bass house,deep groove house,electro house,house",0.685,0.911,9,-4.977,1,0.144,0.00552,0.0247,0.285,0.351,128.02,4
0fp6PDlnCkmdE0F3s0tfr6,"586uxXMyD5ObPuzjtrzO1Q","Original Sin","Original Sin","Sofi Tukker",2022-02-04,171598,69,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-05-16T22:17:54Z,"edm",0.779,0.727,11,-8.59,0,0.053,0.165,0.0194,0.32,0.455,124.021,4
2wf2KMhjoHSZXKVHNBoTMg,"586uxXMyD5ObPuzjtrzO1Q,7kNqXtgeIwFtelmRjWv205","Sun Came Up","Sun Came Up","Sofi Tukker,John Summit",2021-09-02,202905,65,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-05-16T22:18:44Z,"edm,electro house,house,pop dance",0.673,0.625,9,-6.854,0,0.0272,0.0243,0.0219,0.0577,0.386,124.001,4
4mrAArfFEIqpH6myouJb03,"5wwneIFdawNgQ7GvKK29Z3,49CE2ffZ6Z3zeYSDauSKck","Paper Planes","Paper Planes","Lucas & Steve,Tungevaag",2021-07-30,186666,65,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-05-16T22:18:51Z,"dance pop,edm,electro house,pop dance,pop edm,tropical house,big room,nordic house",0.643,0.762,7,-4.003,0,0.0373,0.0525,0,0.345,0.399,125.947,4
1esZgaqm0YKN87CIP3orJ3,"5T0j6On1EthT2QVNXh8vqc","Rampampam","Rampampam","Minelli",2021-06-18,200211,72,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-05-16T22:19:02Z,"romanian pop",0.797,0.649,3,-5.506,0,0.182,0.24,0.0012,0.153,0.437,117.971,4
5902W4uHWzhtOff1UK7the,"4AVFqumd2ogHFlRbKIjp1t,6jJ0s89eD6GaHleKKya26X","When I’m Gone (with Katy Perry)","When I’m Gone (with Katy Perry)","Alesso,Katy Perry",2021-12-29,161266,81,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-05-16T22:19:57Z,"dance pop,edm,electro house,pop,pop dance,tropical house,post-teen pop",0.685,0.886,0,-4.179,1,0.034,0.028,0,0.481,0.615,125.034,4
0YQEWdfq3ajtNtK106Dr0k,"053q0ukIDRgzwTr4vNSwab","Shinigami Eyes","Shinigami Eyes","Grimes",2022-01-26,159315,68,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-05-16T22:20:02Z,"art pop,canadian electropop,dance pop,grave wave,indietronica,metropopolis,pop",0.632,0.691,9,-5.226,0,0.0603,0.00604,0.00149,0.19,0.0768,116.028,4
5RyJJffcUX3bwEfJRUfUkc,"2WBJQGf1bT1kxuoqziH5g4,3u4qXYRgHgU7YtjZt9sduX","Dopamine","Dopamine","Purple Disco Machine,Eyelar",2021-08-27,216770,37,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-05-16T22:20:07Z,"deep house,house,tropical house,uk pop",0.691,0.805,11,-5.396,0,0.123,0.0532,0,0.189,0.873,117.974,4
20on25jryn53hWghthWWW3,"4pnp4w9g30yLfVIAFnZMRd,1c70yCa8sRgIiQxl3HOEFo","Do It To It","Do It To It","ACRAZE,Cherish",2021-08-20,157890,87,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-05-16T22:22:06Z,"atl hip hop,dance pop,girl group,hip pop,r&b,southern hip hop,urban contemporary",0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,4
4CUX44NA1CPEzd0ibMLQsL,"1H1sDUWSlytzifZTDpKgUA,7zAAwgV5Wqmvpb4GzvlRkP","Make Me Feel Good","Make Me Feel Good","Belters Only,Jazzy",2021-11-26,197472,77,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-05-16T22:22:24Z,"",0.773,0.74,7,-8.169,0,0.0386,0.0627,0.00183,0.0829,0.504,124.014,4
