Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7snMDOhoYrd4oQpVjPv3Ut,"3g9yyIlJ0sIunQWJLmIYhn","Maniac","Maniac","Sound Of Legend",2022-02-04,131172,70,spotify:user:,2022-06-17T10:30:04Z,"francoton,french pop,new french touch,tropical house",0.522,0.934,2,-3.712,0,0.048,0.00179,0.000322,0.301,0.0783,145.012,4
1xyz2xqqpnhT3k1ApFPu6S,"4RSyJzf7ef6Iu2rnLdabNq","Trompeta","Trompeta","Willy William",2022-02-18,168704,73,spotify:user:,2022-06-17T10:30:04Z,"francoton",0.64,0.862,7,-3.865,0,0.0319,0.0157,0.113,0.273,0.366,128.034,4
7fZBQnc0zXwVybgCIrQQil,"5rGrDvrLOV2VV8SCFVGWlj,0Upxnyh9nIUNSOmNE8WF4R","Belly Dancer","Belly Dancer","Imanbek,BYOR",2022-02-18,151475,86,spotify:user:,2022-06-17T10:30:04Z,"dance pop,edm,electro house,pop dance,slap house,tropical house,bass house,russian edm",0.845,0.797,1,-4.984,1,0.139,0.0582,0.00000557,0.167,0.422,121.985,4
493Rk3iS7rs8uPfpnfm95u,"329e4yvIujISKGKz1BZZbO,00CMSJdbf36zOzKB3z8JrR,3JfbHWZ07sSBjbojTU2hAt","El Incomprendido","El Incomprendido","Farruko,Victor Cardenas,Dj Adoni",2021-09-30,267546,76,spotify:user:,2022-06-17T10:30:04Z,"latin,latin hip hop,reggaeton,trap latino",0.754,0.841,11,-3.19,1,0.135,0.113,0,0.466,0.541,128.019,4
4KHXk0rTD80mEf7bbdK29j,"0GgY7hjMoGDsX8ZDe2mwds","Suavemente","Suavemente","Soolking",2022-02-22,159357,80,spotify:user:,2022-06-17T10:30:04Z,"francoton,french hip hop,pop urbaine,rap algerien,rap tunisien",0.865,0.682,7,-4.563,0,0.0548,0.284,0.00445,0.0422,0.508,140.052,4
7g7OshelYRRnOSEMmisJVI,"7keGfmQR4X5w0two1xKZ7d","Clap Your Hands","Clap Your Hands","Kungs",2022-02-18,189880,79,spotify:user:,2022-06-17T10:30:04Z,"edm,pop dance,tropical house",0.878,0.875,1,-4.923,1,0.0658,0.0507,0.0000342,0.356,0.84,124.006,4
3tzR2HUk6FAGaXzkrXZpQj,"0oXTS2yHUnuji1R7kc9J9a,2NpPlwwDVYR5dIj0F31EcC","Friendships (Lost My Love)","Friendships (Lost My Love)","Pascal Letoublon,Leony",2020-11-13,182700,71,spotify:user:,2022-06-17T10:30:04Z,"",0.787,0.828,11,-3.579,0,0.0297,0.106,0.000605,0.105,0.544,119.953,4
6hgoYQDUcPyCz7LcTUHKxa,"46pWGuE3dSwY3bMMXGBvVS","Calm Down","Calm Down","Rema",2022-02-10,219813,78,spotify:user:,2022-06-17T10:30:04Z,"nigerian pop",0.811,0.781,11,-6.333,1,0.0428,0.376,0.001,0.121,0.824,107.007,4
2DufAlDkMT5qeTwTjVL0mo,"7eehGkMnqCS6Hp7HJIXH9e,4o5VpOIpQtpayG0gbDaNzO,4ZRiZlB8TEZwhXqwLr0U9R,13ZyK3pNDA6pAvzzmmWNiC,1hBkUOJB8qTXo9gLH2GbxW","Happy Ending (feat. Voice Impact & Yazik)","Happy Ending (feat. Voice Impact & Yazik)","Crystal Rock,Marc Kiss,Pule,Voice Impact,Yazik",2022-03-18,132755,65,spotify:user:,2022-06-17T10:30:04Z,"slap house,german dance",0.72,0.68,1,-7.157,1,0.275,0.167,0.0000125,0.426,0.657,126.955,4
3ElGRG3DqSzzkh1b2wnbzf,"5ENS85nZShljwNgg4wFD7D,0TKFPt9w0AAEnhB9bd0pLy,2Bc52Zzq4Hx7Dqm0Qw8bJL","We Could Be Together (feat. Daddy DJ)","We Could Be Together (feat. Daddy DJ)","Gabry Ponte,LUM!X,Daddy DJ",2022-06-03,149642,67,spotify:user:,2022-06-17T10:30:04Z,"edm,eurodance,italo dance,pop dance,slap house,melbourne bounce international,bubblegum dance,europop",0.706,0.778,10,-4.491,1,0.0606,0.198,0.0000106,0.0778,0.376,125.893,4
