Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3VEj8TOWsftdPW68BXxiDI,"58O8UPrTdl4u2buM0skj94","Blinding My Vision","Blinding My Vision","Harrison",2018-03-02,188689,30,spotify:user:extmqycqbstl3w9c5dvw851n0,2020-02-13T01:23:59Z,"",0.548,0.805,0,-6.543,1,0.036,0.0141,0.00233,0.111,0.379,144.952,4
2zoNNEAyPK2OGDfajardlY,"6nxWCVXbOlEVRexSbLsTer,5ujrA1eZLDHR7yQ6FZa2qA","Rushing Back","Rushing Back","Flume,Vera Blue",2019-09-25,231663,65,spotify:user:extmqycqbstl3w9c5dvw851n0,2020-02-13T01:26:29Z,"australian dance,australian electropop,australian indie,downtempo,edm,australian pop",0.574,0.612,0,-4.741,1,0.0781,0.357,0,0.158,0.368,136.046,3
0VOsR3sEACivA46VDuaLai,"2LY0E3xg8svCVYXVNTze5T,2E19mfEFhCr6UgZUYJGOEW","Samurai (feat. Katy Tiz)","Samurai (feat. Katy Tiz)","Vanic,Katy Tiz",2016-09-16,201600,41,spotify:user:extmqycqbstl3w9c5dvw851n0,2020-02-13T01:21:41Z,"bass trap,electronic trap,future bass,indie electropop,melodic dubstep,pop edm,vapor twitch",0.381,0.668,1,-4.328,0,0.0326,0.00457,0,0.0877,0.104,75.004,4
36c4JohayB9qd64eidQMBi,"4tZwfgrHOc3mvqYlEYSvVi,1R84VlXnFFULOsWWV8IrCQ","Doin' it Right (feat. Panda Bear)","Random Access Memories","Daft Punk,Panda Bear",2013-05-17,251293,62,spotify:user:extmqycqbstl3w9c5dvw851n0,2020-02-13T01:23:58Z,"electro,filter house,art pop,chillwave,collage pop,dream pop,experimental pop,indie rock,noise pop",0.804,0.451,6,-8.207,1,0.0949,0.388,0.0000217,0.0924,0.19,178.061,4
7BaZHpJA6pv2KxiAkh9igc,"2LY0E3xg8svCVYXVNTze5T,1DUd25ybTBglvAohsXTmBx","Save Yourself","Save Yourself","Vanic,Gloria Kim",2019-05-10,274639,45,spotify:user:extmqycqbstl3w9c5dvw851n0,2020-02-13T01:21:09Z,"bass trap,electronic trap,future bass,indie electropop,melodic dubstep,pop edm,vapor twitch",0.586,0.69,1,-4.754,0,0.0269,0.101,0.000137,0.0633,0.175,97.025,4
6WjdQmWiuLjLh7iNE0Bw2J,"2tLI4kPsmsxQQv6zr2jbgt,4k5j2KkfsE7yGO46C0Hm1G,4IRw3ME1D0lYOyFyXAjDv7","Ur Perfect I Hate It - Lenno Remix","Ur Perfect I Hate It (Lenno Remix)","Mickey Valen,Emilia Ali,Lenno",2020-04-03,192608,0,spotify:user:extmqycqbstl3w9c5dvw851n0,2020-06-20T15:21:00Z,"alt z,bass trap,pop edm,traprun,new french touch",0.798,0.537,2,-7.418,1,0.0668,0.0723,0.00573,0.44,0.211,100.066,4
0hQVAVsUCqQDcOwPTFKNxb,"5KnoVkIUGmK0PiDKMjz2LM,3eSiyfI9xykA5QtgcLS43b","Blind (feat. Emmi) - Radio Edit","Blind (feat. Emmi) [Radio Edit]","Feder,Emmi",2015-11-20,194000,46,spotify:user:extmqycqbstl3w9c5dvw851n0,2020-02-13T01:20:59Z,"new french touch,tropical house",0.695,0.638,11,-8.64,0,0.0395,0.0114,0.00532,0.111,0.446,119.986,4
6ZT3coOj97F6CVvruPtnox,"4dM6NDYSfLcspt8GLoT5aE","Your Soul","The Sunny Album (Deluxe Edition)","Hippie Sabotage",2014-09-16,324806,62,spotify:user:extmqycqbstl3w9c5dvw851n0,2020-02-13T01:20:45Z,"edm,electronic trap",0.487,0.68,7,-8.497,0,0.0408,0.000599,0.0339,0.144,0.0752,94.46,3
3OXayQUy48DyW1ORUVPpoN,"2LY0E3xg8svCVYXVNTze5T,7q6XqmPpAbQUzTHFnbV0RI","Good On Me (feat. Olivia Noelle)","Good On Me (feat. Olivia Noelle)","Vanic,Olivia Noelle",2019-02-01,211250,27,spotify:user:extmqycqbstl3w9c5dvw851n0,2020-02-13T01:22:15Z,"bass trap,electronic trap,future bass,indie electropop,melodic dubstep,pop edm,vapor twitch,nyc pop",0.545,0.702,6,-6.269,0,0.0473,0.0399,0,0.118,0.329,95.989,4
3ATdVTmnmoOQdiUExiq9mb,"3Ppk7mLzKS4YRP3L0Xq8G8,3ci8vJ8RGrLm2tIhylbpop,1ngvVVrIS55Qocmb7SZarx","Runaway","Runaway","ADGRMS,Jackswan,Burnheart",2018-11-27,173156,17,spotify:user:extmqycqbstl3w9c5dvw851n0,2020-02-13T01:22:41Z,"indian edm",0.479,0.638,11,-7.867,0,0.0382,0.0335,0.0000152,0.109,0.167,140.049,4
