Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0YqwWW8dtBLm266Tf1WVdH,"0cWwLbhs4bX6RLNR0r3FMN,18ZxJf28Jf6aOTlI0XBu4l,4iF8VQ9Avxe5RM3A4ddlvF","In My Head (feat. Sands & Simona Shao)","Nowhere","Solstis,SANDS,Simona Shao",2018-02-23,336000,38,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-03-19T17:42:07Z,"future bass",0.527,0.659,2,-6.534,1,0.0342,0.0657,0.0736,0.0951,0.126,100.01,4
79cUfhS0i4KAe8Aillcj4o,"0nNnD1oc02hebmFdcJkyXw","Conscious","Conscious","Leon Lour",2018-08-09,248674,35,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-03-19T17:43:38Z,"pop edm",0.406,0.765,2,-4.64,1,0.0422,0.000281,0.309,0.0889,0.123,166.062,4
5M4P1ig33jUcjzAOLbBGny,"0q5832aVcQp3jtKa2lTEwY,1qs72LBhNBAQGwxFAnlo0x,1nEAtVkiejN4vtq2xUdQ3g","Night Caller","Night Caller","Project Nightfall,Abandoned,InfiNoise",2018-01-20,253642,26,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-03-19T17:48:37Z,"gaming edm,melodic dubstep,progressive trance",0.42,0.61,7,-6.071,0,0.0577,0.148,0,0.102,0.157,128.135,4
0E5m5p7pJ1wuU8COpKEpZm,"1qoalO0xHFgZRn4JhRuq7Y,5UA4NsiBgSQICPFMDKcPAe","Hate You","Hate You","LEOWI,Aviella",2018-01-22,194546,22,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-03-19T17:55:12Z,"lithuanian edm",0.637,0.633,11,-6.619,0,0.12,0.026,0.00014,0.242,0.115,95.142,4
47emsK4Cj4dMqctYq18U03,"2Waw2sSbqvAwK8NwACNjVo","All Eyes On Me (Song Only)","All Eyes On Me (Song Only)","Bo Burnham",2021-07-02,212860,63,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-03-19T18:08:28Z,"comic",0.247,0.442,6,-8.703,1,0.041,0.716,0,0.0655,0.261,62.952,4
6aWmyJZAdn1YbQuofR2zaY,"04gDigrS5kc9YWfZHwBETP,1RyvyyTE3xzB2ZywiAwp0i,3pcGjcfEW3YD2Hfk6tDR5S","Cold - Ashworth Remix","Cold (Ashworth Remix)","Maroon 5,Future,Ashworth",2017-04-14,242753,56,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-03-19T18:11:45Z,"pop,atl hip hop,rap,southern hip hop,trap,la pop",0.724,0.694,9,-8.141,0,0.0598,0.35,0,0.0838,0.797,100.079,4
6v1br766JXWCdvfTtQKoS0,"1Yj7SsIEP9k7SsE1HcMBrq,0xD6n0wj7aqV5g5LcRNBUd","Drive","Drive","EQRIC,RIELL",2019-06-06,164842,27,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-03-19T18:21:41Z,"pop edm",0.659,0.578,1,-5.25,0,0.0531,0.498,0,0.132,0.311,94.892,4
7mc1rQvzJdMe8pnH11w3v6,"1rJ2jr0BuFv7RGACToKrKc","Everything","Everything","Lightyear",2019-05-01,162253,30,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-03-19T18:22:39Z,"",0.558,0.904,0,-6.824,1,0.105,0.289,0.000039,0.206,0.33,142.063,4
0J10Hck3wkAYqgyOseqJ0t,"2ixBQngmF4ZFXYHi8sJTfl,359shARYhqeEGrmwgOEOLS","gone","gone","juuku,Natalie",2019-09-26,210075,27,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-03-19T18:24:55Z,"future bass,vapor twitch,trap soul",0.317,0.659,9,-6.198,1,0.0892,0.0654,0.0000102,0.186,0.18,123.889,4
7a1jlIGK7GPiFNOS9AeMXL,"6zFgFyNPX54npRAw8vSrCC","Driveway","Driveway","culpriit",2017-09-01,208256,31,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-03-19T18:31:09Z,"",0.597,0.802,8,-6.588,0,0.103,0.016,0,0.123,0.451,94.959,4
02MWAaffLxlfxAUY7c5dvx,"4yvcSjfu4PC0CYQyLy4wSq","Heat Waves","Dreamland (+ Bonus Levels)","Glass Animals",2020-08-06,238805,90,spotify:user:extmqycqbstl3w9c5dvw851n0,2022-03-20T18:18:41Z,"gauze pop,indietronica,shiver pop",0.761,0.525,11,-6.9,1,0.0944,0.44,0.0000067,0.0921,0.531,80.87,4
